# Active MLB Players - 673 total
# Format: Player Name | FanGraphs ID

Aaron Judge | 15640
Cal Raleigh | 21534
Bobby Witt Jr. | 25764
Shohei Ohtani | 19755
Geraldo Perdomo | 22799
Trea Turner | 16252
Corbin Carroll | 25878
José Ramírez | 13510
Francisco Lindor | 12916
Fernando Tatis Jr. | 19709
Juan Soto | 20123
Julio Rodríguez | 23697
Jeremy Peña | 21636
Maikel Garcia | 22715
Pete Crow-Armstrong | 27769
George Springer | 12856
Byron Buxton | 14161
Kyle Schwarber | 16478
Cody Bellinger | 15998
Nico Hoerner | 21479
Gunnar Henderson | 26289
Matt Olson | 14344
Alejandro Kirk | 22581
Ketel Marte | 13613
Nick Kurtz | 35110
Junior Caminero | 28163
Kyle Tucker | 18345
Brice Turang | 22186
Jazz Chisholm Jr. | 20454
Elly De La Cruz | 26668
Will Smith | 19197
Andy Pages | 24816
Wyatt Langford | 33333
Dillon Dingler | 27464
Willy Adames | 15986
Corey Seager | 13624
Kyle Stowers | 26151
Shea Langeliers | 25816
Jarren Duran | 24617
Freddie Freeman | 5361
Vladimir Guerrero Jr. | 19611
Bo Bichette | 19612
Ceddanne Rafaela | 24262
Eugenio Suárez | 12552
Manny Machado | 11493
Matt Chapman | 16505
William Contreras | 20503
Pete Alonso | 19251
Sal Frelick | 29622
Alex Bregman | 17678
Ronald Acuña Jr. | 18401
Michael Busch | 26319
Masyn Winn | 27479
Bryce Harper | 11579
Jacob Wilson | 33266
Mookie Betts | 13611
Hunter Goodman | 29715
Tyler Soderstrom | 27467
Dansby Swanson | 18314
Rafael Devers | 17350
James Wood | 29518
Xander Bogaerts | 12161
Patrick Bailey | 27478
Ernie Clement | 20352
Harrison Bader | 18030
Steven Kwan | 24610
Zach McKinstry | 19392
Trent Grisham | 18564
Josh Naylor | 18839
CJ Abrams | 25768
Zach Neto | 31347
Drake Baldwin | 31539
Bryson Stott | 26294
Ben Rice | 29576
Austin Wells | 27562
Ryan O'Hearn | 16442
Jackson Merrill | 29490
Trevor Story | 12564
Brandon Nimmo | 12927
Ramón Laureano | 17128
Jackson Chourio | 28806
Taylor Ward | 17548
Riley Greene | 25976
Max Muncy | 13301
Jake Cronenworth | 18036
Randy Arozarena | 19290
Yandy Díaz | 16578
TJ Friedl | 19522
Brendan Donovan | 24679
Ian Happ | 17919
J.P. Crawford | 15491
Willson Contreras | 11609
Roman Anthony | 31812
Gabriel Moreno | 22664
Colson Montgomery | 29712
Iván Herrera | 20599
Carlos Narváez | 19722
Caleb Durbin | 29646
Jorge Polanco | 13152
Carson Kelly | 13620
Carlos Correa | 14162
Isaac Collins | 25477
Seiya Suzuki | 30116
Gleyber Torres | 16997
Jonathan Aranda | 21837
Xavier Edwards | 22266
Isaac Paredes | 20036
